nummer wort sprecher anteil segtyp meanf0 slopef0 meanf1 meanf2 meanf3
013 Lohn 1 0.78431372549 o 117.00000000 -133.82352941 282.4376 670.8246 2096.7411
015 Lohn 0 0.15686274510 o 96.47368421 -87.54385965 301.6772 692.5465 2260.5949
022 Lohn 0 0.01960784314 o 91.71428571 -134.06593407 300.1747 667.8899 2280.4954
052 Lohn 1 0.80392156863 o 122.29166667 -56.73913043 339.6800 720.0345 2246.7206
128 Lohn 0 0.01960784314 o 109.56250000 -10.44117647 291.1259 679.2993 2326.9665
168 Lohn 1 0.76470588235 o 123.84210526 156.66666667 316.3564 738.4428 2178.2304
078 Malmoe 0 0.15686274510 2 85.87500000 -31.76470588 284.2626 1552.0993 1905.3867
083 Malmoe 0 0.07843137255 2 81.83333333 -32.16783217 267.7822 1604.9771 2040.9544
116 Malmoe 1 0.84313725490 2 108.09523810 -95.19480519 262.3694 1580.6971 1990.6489
159 Malmoe 1 0.80392156863 2 92.50000000 -110.29411765 268.7913 1550.9777 1853.5753
176 Malmoe 0 0.03921568627 2 91.29411765 -56.61764706 258.7228 1550.0539 1968.4832
179 Malmoe 1 0.56862745098 2 136.52380952 -15.71428571 270.7680 1596.3925 1926.5234
180 Malmoe 0 0.09803921569 2 84.00000000 -57.69230769 246.3255 1666.5538 2076.6954
215 Malmoe 1 0.58823529412 2 93.58823529 -33.08823529 276.1968 1592.8071 1979.4987
025 Melonen 1 0.88235294118 o 111.56250000 -178.97058824 270.4107 787.6640 2051.6654
096 Melonen 0 0.01960784314 o 105.00000000 -59.64285714 257.0674 693.0640 2307.3167
104 Melonen 1 0.76470588235 o 115.63157895 -93.33333333 279.2459 678.0043 2168.5547
144 Melonen 0 0.31372549020 o 98.23529412 -43.87254902 265.9062 706.0869 2165.9724
167 Melonen 1 0.80392156863 o 104.57894737 -138.42105263 267.5402 717.0343 2171.8765
171 Melonen 1 0.92156862745 o 113.10526316 -172.45614035 283.1028 762.1904 2240.5719
194 Melonen 0 0.17647058824 o 97.00000000 -57.79153767 257.4391 694.9186 2217.9408
198 Melonen 0 0.01960784314 o 89.13333333 -120.00000000 268.5519 705.8856 2227.1538
005 Muehle 1 0.74509803922 y 126.73684211 -65.26315789 258.1884 1580.4017 1893.3852
047 Muehle 1 0.92156862745 y 129.76470588 -136.02941176 246.3937 1698.3454 1929.0393
076 Muehle 1 0.64705882353 y 121.23529412 -30.88235294 250.8065 1620.2148 1849.6089
123 Muehle 1 0.62745098039 y 124.23529412 -47.79411765 232.9864 1632.8085 1844.5251
124 Muehle 0 0.11764705882 y 109.14285714 -145.97402597 221.8003 1611.9416 1870.8941
149 Muehle 0 0.13725490196 y 112.40909091 -102.82326369 229.9758 1611.4493 1890.7117
175 Muehle 0 0.09803921569 y 101.57142857 -128.79120879 231.2907 1577.3892 1912.7173
192 Muehle 0 0.09803921569 y 102.85714286 -106.37362637 221.3868 1578.6331 1877.7792
020 Mumie 0 0.07843137255 u 121.94444444 -96.49122807 238.5389 604.6353 2124.2028
021 Mumie 1 0.33333333333 u 127.17647059 -48.52941176 246.3564 638.0621 2161.7953
030 Mumie 1 0.39215686275 u 124.00000000 -35.00000000 234.3654 736.0517 2154.9935
103 Mumie 1 0.86274509804 u 131.16666667 -133.64293086 270.3974 823.9107 2137.2780
204 Mumie 0 0.01960784314 u 106.41666667 -111.53846154 230.6485 639.3510 2214.6226
226 Mumie 0 0.03921568627 u 110.00000000 -164.64285714 235.7367 573.1298 2269.4514
229 Mumie 1 0.78431372549 u 144.23809524 88.57142857 272.0693 705.7573 2047.0120
234 Mumie 0 0.07843137255 u 116.25000000 -118.53146853 243.2574 572.9559 2274.7213
